"point1x","point1y","point2x","point2y","Classification"
164.37057,1369.75585,184.37057,1389.75585,4
809.41343,493.30899,829.41343,513.30899,9
1020.26429,1505.7753,1040.26429,1525.7753,2
785.82705,1055.0068,805.82705,1075.0068,5
440.99096,1199.15082,460.99096,1219.15082,4
578.85229,101.99906,598.85229,121.99906,13
1156.45047,456.83905,1176.45047,476.83905,14
972.00475,120.47992,992.00475,140.47992,13
1827.53827,1515.56525,1847.53827,1535.56525,3
553.9938,900.16371,573.9938,920.16371,9
1527.97961,1804.33667,1547.97961,1824.33667,3
1696.56371,134.48399,1716.56371,154.48399,15
1501.05379,582.80803,1521.05379,602.80803,11
1683.59801,1162.84225,1703.59801,1182.84225,7
810.40738,180.72157,830.40738,200.72157,13
108.93363,679.04056,128.93363,699.04056,8
1144.68345,1940.38883,1164.68345,1960.38883,2
1475.20269,726.68968,1495.20269,746.68968,10
1754.9008,366.67206,1774.9008,386.67206,15
60.9618,1927.49772,80.9618,1947.49772,0
1237.27276,1439.25928,1257.27276,1459.25928,6
1195.00493,1227.65358,1215.00493,1247.65358,6
152.95966,744.93919,172.95966,764.93919,8
819.39442,433.99051,839.39442,453.99051,13
678.55662,1017.74845,698.55662,1037.74845,5
400.3932,1090.65209,420.3932,1110.65209,4
1663.6472,759.78821,1683.6472,779.78821,11
526.83602,635.22706,546.83602,655.22706,9
1645.72597,1657.34455,1665.72597,1677.34455,3
761.66454,1116.93243,781.66454,1136.93243,5
1625.01288,1556.0473,1645.01288,1576.0473,3
609.2782,1849.47325,629.2782,1869.47325,1
871.19969,1720.37423,891.19969,1740.37423,1
1713.50505,380.73139,1733.50505,400.73139,15
219.09067,1923.35082,239.09067,1943.35082,0
1920.54614,1132.46376,1940.54614,1152.46376,7
381.09381,857.16495,401.09381,877.16495,8
1860.05669,1502.92463,1880.05669,1522.92463,3
294.21484,286.61942,314.21484,306.61942,12
628.71463,718.95819,648.71463,738.95819,9
267.05279,1754.84687,287.05279,1774.84687,0
1633.81756,415.95137,1653.81756,435.95137,15
1329.6603,799.39647,1349.6603,819.39647,10
480.01721,1444.0784,500.01721,1464.0784,4
829.23461,512.6411,849.23461,532.6411,9
649.01499,239.95162,669.01499,259.95162,13
1887.12789,630.23223,1907.12789,650.23223,11
491.70866,427.75711,511.70866,447.75711,13
886.56519,316.11542,906.56519,336.11542,13
296.40205,1962.22222,316.40205,1982.22222,0
833.15638,669.45781,853.15638,689.45781,9
1655.53516,1381.62239,1675.53516,1401.62239,7
1033.35385,1768.17273,1053.35385,1788.17273,2
431.3806,18.10323,451.3806,38.10323,12
490.18297,1925.30344,510.18297,1945.30344,1
724.69433,1670.42859,744.69433,1690.42859,1
462.12676,296.20584,482.12676,316.20584,12
1474.40383,503.81267,1494.40383,523.81267,10
384.85279,1409.9084,404.85279,1429.9084,4
1114.64137,545.91544,1134.64137,565.91544,10
960.36723,1397.10841,980.36723,1417.10841,5
880.04573,1741.62878,900.04573,1761.62878,1
101.77304,767.80008,121.77304,787.80008,8
606.74472,509.66273,626.74472,529.66273,9
1129.21625,892.00356,1149.21625,912.00356,10
0.89286,23.59548,20.89286,43.59548,12
980.1258,590.12405,1000.1258,610.12405,9
1119.22217,1342.43561,1139.22217,1362.43561,6
686.41345,718.37047,706.41345,738.37047,9
373.03603,489.45147,393.03603,509.45147,12
1262.08558,1459.93771,1282.08558,1479.93771,6
1754.59365,400.47204,1774.59365,420.47204,15
1604.26795,309.22063,1624.26795,329.22063,15
1743.88164,1632.46126,1763.88164,1652.46126,3
1150.53602,750.12051,1170.53602,770.12051,10
694.21583,1819.487,714.21583,1839.487,1
371.12521,1795.67213,391.12521,1815.67213,0
1876.41334,352.77767,1896.41334,372.77767,15
626.8762,1271.18857,646.8762,1291.18857,5
335.63561,1317.54412,355.63561,1337.54412,4
781.00975,1310.49478,801.00975,1330.49478,5
359.69758,1512.27116,379.69758,1532.27116,0
1868.35645,1702.10474,1888.35645,1722.10474,3
1518.84146,1092.64102,1538.84146,1112.64102,7
1027.03346,280.41247,1047.03346,300.41247,14
1800.29317,1892.23851,1820.29317,1912.23851,3
1265.74613,295.94401,1285.74613,315.94401,14
357.05332,1008.4787,377.05332,1028.4787,4
894.35616,481.79427,914.35616,501.79427,13
436.27881,819.91503,456.27881,839.91503,8
961.49704,308.38452,981.49704,328.38452,13
454.7712,688.70578,474.7712,708.70578,8
323.25482,1581.81476,343.25482,1601.81476,0
675.42397,1069.15464,695.42397,1089.15464,5
657.45877,1759.17936,677.45877,1779.17936,1
598.74182,924.32104,618.74182,944.32104,9
936.73415,332.54325,956.73415,352.54325,13
962.50182,191.15159,982.50182,211.15159,13
1657.10972,305.02717,1677.10972,325.02717,15
1329.34617,205.30134,1349.34617,225.30134,14
637.60331,1267.22466,657.60331,1287.22466,5
863.0236,1973.78281,883.0236,1993.78281,1
813.68302,1282.29553,833.68302,1302.29553,5
313.84283,580.39039,333.84283,600.39039,8
393.32994,444.04496,413.32994,464.04496,12
1591.22513,1616.03345,1611.22513,1636.03345,3
1047.64843,824.48509,1067.64843,844.48509,10
1816.88709,677.40933,1836.88709,697.40933,11
775.45539,1006.35921,795.45539,1026.35921,5
369.8624,1715.69666,389.8624,1735.69666,0
692.18912,1887.32297,712.18912,1907.32297,1
278.7606,840.22751,298.7606,860.22751,8
953.51685,798.3642,973.51685,818.3642,9
1722.27953,575.44986,1742.27953,595.44986,11
404.77574,1193.27054,424.77574,1213.27054,4
447.58492,118.25213,467.58492,138.25213,12
389.15516,1632.79739,409.15516,1652.79739,0
411.10234,723.68396,431.10234,743.68396,8
1083.57097,935.87566,1103.57097,955.87566,10
1788.99487,1430.12419,1808.99487,1450.12419,7
1211.04788,732.17316,1231.04788,752.17316,10
1064.49523,1579.49451,1084.49523,1599.49451,2
1926.93983,1310.71989,1946.93983,1330.71989,7
1846.12047,1850.56222,1866.12047,1870.56222,3
251.52589,1516.28675,271.52589,1536.28675,0
1533.36342,1548.50478,1553.36342,1568.50478,3
184.26748,689.42501,204.26748,709.42501,8
1937.93599,83.30882,1957.93599,103.30882,15
1763.05639,1592.86855,1783.05639,1612.86855,3
1009.64981,580.79561,1029.64981,600.79561,10
577.54503,1057.2806,597.54503,1077.2806,5
616.75671,917.56385,636.75671,937.56385,9
890.72874,34.19383,910.72874,54.19383,13
727.77961,1644.09768,747.77961,1664.09768,1
1493.28638,376.67926,1513.28638,396.67926,15
37.33292,79.42195,57.33292,99.42195,12
1504.1213,1653.80195,1524.1213,1673.80195,3
1929.90581,1530.4106,1949.90581,1550.4106,3
1561.37382,55.05487,1581.37382,75.05487,15
1255.8251,590.85654,1275.8251,610.85654,10
637.01362,775.90139,657.01362,795.90139,9
742.73228,1507.44221,762.73228,1527.44221,1
372.63273,1048.18757,392.63273,1068.18757,4
1185.44759,1715.54971,1205.44759,1735.54971,2
101.87656,1530.31663,121.87656,1550.31663,0
205.2401,1722.37362,225.2401,1742.37362,0
1411.78066,1747.58656,1431.78066,1767.58656,2
1298.11394,244.13981,1318.11394,264.13981,14
737.06113,453.12736,757.06113,473.12736,13
1792.17188,537.74724,1812.17188,557.74724,11
1178.82863,927.62979,1198.82863,947.62979,10
1672.00748,1910.57467,1692.00748,1930.57467,3
1705.23846,1251.93562,1725.23846,1271.93562,7
532.76159,730.36478,552.76159,750.36478,9
1924.05251,1156.44487,1944.05251,1176.44487,7
1970.79777,683.29366,1990.79777,703.29366,11
1567.90294,825.01726,1587.90294,845.01726,11
755.40975,235.48164,775.40975,255.48164,13
1365.52816,220.67332,1385.52816,240.67332,14
975.90276,519.97462,995.90276,539.97462,9
914.95549,1255.91832,934.95549,1275.91832,5
1335.89229,447.84283,1355.89229,467.84283,14
1727.75322,506.9726,1747.75322,526.9726,11
1927.08738,15.34499,1947.08738,35.34499,15
1370.70824,481.23344,1390.70824,501.23344,14
571.8231,1909.57812,591.8231,1929.57812,1
600.20108,1927.75045,620.20108,1947.75045,1
221.0221,1668.10633,241.0221,1688.10633,0
13.4365,611.30729,33.4365,631.30729,8
284.30293,206.03859,304.30293,226.03859,12
379.07784,1702.74514,399.07784,1722.74514,0
1172.54298,1507.52829,1192.54298,1527.52829,2
1648.34824,1795.66752,1668.34824,1815.66752,3
1753.65755,1149.3359,1773.65755,1169.3359,7
1621.22128,93.63036,1641.22128,113.63036,15
1679.70009,1722.35957,1699.70009,1742.35957,3
1926.41303,103.59088,1946.41303,123.59088,15
1573.37659,627.55551,1593.37659,647.55551,11
754.34117,420.22202,774.34117,440.22202,13
215.90155,932.95754,235.90155,952.95754,8
288.64374,1891.20344,308.64374,1911.20344,0
364.42485,1647.01056,384.42485,1667.01056,0
1310.89638,1763.81954,1330.89638,1783.81954,2
1021.9841,1480.86954,1041.9841,1500.86954,6
1501.69855,1155.5811,1521.69855,1175.5811,7
1094.91015,51.00764,1114.91015,71.00764,14
1182.95566,478.66263,1202.95566,498.66263,14
265.58377,1962.92638,285.58377,1982.92638,0
1343.98808,179.22157,1363.98808,199.22157,14
742.40479,1024.99502,762.40479,1044.99502,5
685.57242,796.19264,705.57242,816.19264,9
