"point1x","point1y","point2x","point2y","Classification"
578.85229,336.55026,598.85229,356.55026,13
678.55662,4.35977,698.55662,24.35977,13
526.83602,436.71994,546.83602,456.71994,13
761.66454,244.87646,781.66454,264.87646,13
628.71463,404.15447,648.71463,424.15447,13
491.70866,166.63262,511.70866,186.63262,13
833.15638,180.14096,853.15638,200.14096,13
490.18297,479.41716,510.18297,499.41716,13
724.69433,358.07303,744.69433,378.07303,13
686.41345,204.56709,706.41345,224.56709,13
675.42397,416.2285,695.42397,436.2285,13
598.74182,455.82545,618.74182,475.82545,13
936.73415,352.86689,956.73415,372.86689,13
692.18912,440.65513,712.18912,460.65513,13
953.51685,130.61504,973.51685,150.61504,13
577.54503,450.20704,597.54503,470.20704,13
890.72874,43.27294,910.72874,63.27294,13
727.77961,109.69335,747.77961,129.69335,13
914.95549,115.5669,934.95549,135.5669,13
742.40479,170.83679,762.40479,190.83679,13
963.95752,135.27788,983.95752,155.27788,13
823.86768,42.58155,843.86768,62.58155,13
684.81671,104.9566,704.81671,124.9566,13
916.68971,217.91804,936.68971,237.91804,13
676.83271,189.67564,696.83271,209.67564,13
514.81309,183.13319,534.81309,203.13319,13
612.63948,7.29739,632.63948,27.29739,13
977.3782,414.54766,997.3782,434.54766,13
557.68059,418.41913,577.68059,438.41913,13
681.38899,427.96316,701.38899,447.96316,13
975.53709,3.5487,995.53709,23.5487,13
818.49093,276.45079,838.49093,296.45079,13
725.56409,342.45717,745.56409,362.45717,13
595.70968,321.84985,615.70968,341.84985,13
859.28979,131.20314,879.28979,151.20314,13
942.96944,150.10901,962.96944,170.10901,13
662.98938,67.86399,682.98938,87.86399,13
753.67678,256.72049,773.67678,276.72049,13
947.31804,69.31933,967.31804,89.31933,13
871.63975,259.74582,891.63975,279.74582,13
808.09917,467.81944,828.09917,487.81944,13
615.40302,353.36523,635.40302,373.36523,13
496.01084,26.20288,516.01084,46.20288,13
535.36348,201.64109,555.36348,221.64109,13
679.39525,467.91281,699.39525,487.91281,13
633.61925,313.43446,653.61925,333.43446,13
721.40103,353.58403,741.40103,373.58403,13
808.17341,228.26171,828.17341,248.26171,13
905.6511,487.53634,925.6511,507.53634,13
493.77936,403.81054,513.77936,423.81054,13
563.73617,434.03912,583.73617,454.03912,13
752.70982,102.19074,772.70982,122.19074,13
943.29327,407.41879,963.29327,427.41879,13
885.64587,97.68969,905.64587,117.68969,13
604.12139,486.60311,624.12139,506.60311,13
756.45046,106.57279,776.45046,126.57279,13
851.79823,113.36542,871.79823,133.36542,13
584.49925,227.80543,604.49925,247.80543,13
691.65736,107.86074,711.65736,127.86074,13
955.71941,451.83038,975.71941,471.83038,13
557.57204,326.31619,577.57204,346.31619,13
913.63466,67.38182,933.63466,87.38182,13
529.28658,202.14906,549.28658,222.14906,13
749.44915,218.61553,769.44915,238.61553,13
862.7691,21.36936,882.7691,41.36936,13
626.18756,127.74314,646.18756,147.74314,13
566.16753,390.41523,586.16753,410.41523,13
498.97231,292.6492,518.97231,312.6492,13
538.90867,362.23571,558.90867,382.23571,13
525.07388,271.4726,545.07388,291.4726,13
658.01544,219.27028,678.01544,239.27028,13
726.42712,416.54863,746.42712,436.54863,13
867.27195,472.25433,887.27195,492.25433,13
619.34441,254.07781,639.34441,274.07781,13
716.95538,19.72926,736.95538,39.72926,13
739.5502,457.21471,759.5502,477.21471,13
800.71325,181.22853,820.71325,201.22853,13
899.28738,387.10748,919.28738,407.10748,13
497.54354,152.71679,517.54354,172.71679,13
792.19982,461.51208,812.19982,481.51208,13
500.98328,35.6132,520.98328,55.6132,13
981.07279,367.01852,1001.07279,387.01852,13
974.87203,191.33501,994.87203,211.33501,13
911.99877,6.57507,931.99877,26.57507,13
707.25968,483.83277,727.25968,503.83277,13
586.6825,10.56613,606.6825,30.56613,13
892.09655,413.14678,912.09655,433.14678,13
675.6597,410.5279,695.6597,430.5279,13
717.13414,446.98565,737.13414,466.98565,13
573.34553,116.65122,593.34553,136.65122,13
837.71129,221.22101,857.71129,241.22101,13
667.73051,372.87931,687.73051,392.87931,13
543.66808,99.55106,563.66808,119.55106,13
903.79016,378.96895,923.79016,398.96895,13
904.20839,51.49338,924.20839,71.49338,13
568.25248,218.74142,588.25248,238.74142,13
912.7762,461.83347,932.7762,481.83347,13
698.27205,193.96295,718.27205,213.96295,13
775.81458,67.14074,795.81458,87.14074,13
608.87298,48.86812,628.87298,68.86812,13
709.43375,90.35123,729.43375,110.35123,13
712.16127,52.4457,732.16127,72.4457,13
645.49774,60.34295,665.49774,80.34295,13
752.15758,488.79039,772.15758,508.79039,13
595.32261,156.98907,615.32261,176.98907,13
690.02431,29.92884,710.02431,49.92884,13
936.24979,72.58858,956.24979,92.58858,13
655.33157,475.00075,675.33157,495.00075,13
649.7962,231.38417,669.7962,251.38417,13
549.7305,165.73018,569.7305,185.73018,13
883.4813,113.01871,903.4813,133.01871,13
818.1786,287.51847,838.1786,307.51847,13
949.84985,338.54162,969.84985,358.54162,13
680.54671,424.37811,700.54671,444.37811,13
540.79256,485.29948,560.79256,505.29948,13
527.592,103.19341,547.592,123.19341,13
751.70792,287.88023,771.70792,307.88023,13
777.49492,44.92169,797.49492,64.92169,13
832.77295,413.47326,852.77295,433.47326,13
507.71504,335.62857,527.71504,355.62857,13
893.76599,389.76583,913.76599,409.76583,13
502.99846,202.68575,522.99846,222.68575,13
819.4874,287.84582,839.4874,307.84582,13
826.10137,28.05114,846.10137,48.05114,13
569.96458,152.45693,589.96458,172.45693,13
986.70016,390.70906,1006.70016,410.70906,13
873.59972,67.71917,893.59972,87.71917,13
928.11049,55.6296,948.11049,75.6296,13
712.19141,157.73179,732.19141,177.73179,13
977.69502,391.92051,997.69502,411.92051,13
579.46544,94.58651,599.46544,114.58651,13
985.57257,309.83991,1005.57257,329.83991,13
650.52123,344.15533,670.52123,364.15533,13
722.59936,339.56323,742.59936,359.56323,13
804.24588,109.92555,824.24588,129.92555,13
705.6732,97.54239,725.6732,117.54239,13
601.02641,306.4872,621.02641,326.4872,13
933.64016,386.34134,953.64016,406.34134,13
671.20272,476.67158,691.20272,496.67158,13
746.91971,469.27134,766.91971,489.27134,13
801.9398,25.74966,821.9398,45.74966,13
980.76397,45.54304,1000.76397,65.54304,13
676.32952,457.47813,696.32952,477.47813,13
670.21048,456.83702,690.21048,476.83702,13
987.64405,200.18807,1007.64405,220.18807,13
769.03482,281.02447,789.03482,301.02447,13
683.16089,29.8836,703.16089,49.8836,13
632.77361,399.94044,652.77361,419.94044,13
908.78848,36.90187,928.78848,56.90187,13
967.74372,394.41141,987.74372,414.41141,13
599.94702,422.6633,619.94702,442.6633,13
526.52953,351.8733,546.52953,371.8733,13
661.79423,35.49928,681.79423,55.49928,13
851.5826,108.10683,871.5826,128.10683,13
491.1911,298.74907,511.1911,318.74907,13
717.86215,449.23643,737.86215,469.23643,13
549.30631,247.85134,569.30631,267.85134,13
895.61111,158.17852,915.61111,178.17852,13
980.74955,187.91668,1000.74955,207.91668,13
504.16331,110.51371,524.16331,130.51371,13
789.91844,318.9683,809.91844,338.9683,13
928.97797,159.33712,948.97797,179.33712,13
861.6512,336.27622,881.6512,356.27622,13
586.37679,214.59819,606.37679,234.59819,13
580.34414,206.32217,600.34414,226.32217,13
812.58134,456.15722,832.58134,476.15722,13
594.02303,358.56881,614.02303,378.56881,13
534.39112,148.46964,554.39112,168.46964,13
597.76653,445.9703,617.76653,465.9703,13
747.53838,41.6404,767.53838,61.6404,13
612.22536,389.14766,632.22536,409.14766,13
899.54235,22.51499,919.54235,42.51499,13
650.78562,73.90416,670.78562,93.90416,13
721.95031,179.48403,741.95031,199.48403,13
591.42082,354.55443,611.42082,374.55443,13
988.63832,178.12825,1008.63832,198.12825,13
526.85052,382.6392,546.85052,402.6392,13
708.05845,373.84854,728.05845,393.84854,13
567.91202,247.57095,587.91202,267.57095,13
882.86076,412.52697,902.86076,432.52697,13
840.68149,262.38083,860.68149,282.38083,13
611.51243,409.60614,631.51243,429.60614,13
722.43796,119.90896,742.43796,139.90896,13
959.78238,114.33493,979.78238,134.33493,13
953.03074,267.55881,973.03074,287.55881,13
790.91066,472.9569,810.91066,492.9569,13
709.76079,266.63568,729.76079,286.63568,13
846.06986,123.22543,866.06986,143.22543,13
618.47098,301.13606,638.47098,321.13606,13
670.36154,241.97823,690.36154,261.97823,13
614.69,324.01704,634.69,344.01704,13
716.55931,29.20735,736.55931,49.20735,13
952.70014,415.62466,972.70014,435.62466,13
589.45492,293.07337,609.45492,313.07337,13
641.13662,59.83609,661.13662,79.83609,13
787.28768,456.28734,807.28768,476.28734,13
951.10984,164.78151,971.10984,184.78151,13
877.8511,325.97658,897.8511,345.97658,13
868.23707,478.41776,888.23707,498.41776,13
922.87438,448.13032,942.87438,468.13032,13
735.49418,101.45009,755.49418,121.45009,13
